major_code,major,course_code,course,prof,bunban,isu,insertYn,book,subbook,plan,majors
A071,[A071] 국어국문전공,M020024,도큐멘팅을 위한 이미지 프로세싱,류재영,7,전선,Y,강의자료,없음,20262516341M0200247,A071|[A071] 국어국문전공;M020|[M020] C&C School
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김선용,3,교필,Y,"한성이미기난스 교안 ppt(업로드 예정), 디자인씽킹으로 일 잘하는 방법(교재) 수업시간 업로드","'상상-한계를 거부하는 발칙한 도전'  지은이 : 임정택,  출판사 : 21세기; 북스
 그 외 상상력 관련 각종 서적",20262511366GEN09243,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김선용,U,교필,Y,"한성이미기난스 교안 ppt(업로드 예정), 디자인씽킹으로 일 잘하는 방법(교재) 수업시간 업로드","'상상-한계를 거부하는 발칙한 도전'  지은이 : 임정택,  출판사 : 21세기; 북스
 그 외 상상력 관련 각종 서적",20262511366GEN0924U,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김양수,D,교필,Y,한성 이마기난스 교안 PPT,한성 이마기난스' 강의교안 (pdf파일) / e-class탑재,20262514985GEN0924D,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김양수,R,교필,Y,한성 이마기난스 교안 PPT,한성 이마기난스' 강의교안 (pdf파일) / e-class탑재,20262514985GEN0924R,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김현숙,2,교필,Y,한성 이마기난스 교안 ppt(이클래스 업로드),상상력 관련 각종 서적,20262515963GEN09242,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김현숙,H,교필,Y,한성 이마기난스 교안 ppt(이클래스 업로드),상상력 관련 각종 서적,20262515963GEN0924H,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김현숙,S,교필,Y,한성 이마기난스 교안 ppt(이클래스 업로드),상상력 관련 각종 서적,20262515963GEN0924S,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김혜련,1,교필,Y,한성 이마기난스 교안 PPT,상상력 관련 각종 서적,20262110806GEN09241,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김혜련,7,교필,Y,한성 이마기난스 교안 PPT,상상력 관련 각종 서적,20262110806GEN09247,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,김혜련,G,교필,Y,한성 이마기난스 교안 PPT,상상력 관련 각종 서적,20262110806GEN0924G,L11E|[L11E] 교양필수
L11E,[L11E] 교양필수,GEN0924,한성 이마기난스,우희정,C,교필,Y,'한성 이마기난스' 강의교안 (pdf파일) / e-class탑재,"상상,한계를 거부하는 발칙한 도전 ,임정택, 21세기북스,2011, / 예술적 상상력, 오종우, 어크로스, 2019 / 디자인과 인문학적 상상력, 최범, 안그라픽스, 2023 /세상에서 가장 시끄러운 그림책, 벤야민 고트발트, 초록글, 2023 / 베르나르 베르베르의 상상력 사전 시리즈 , 베르타르 베르베르, 별천지, 2011",20262510216GEN0924C,L11E|[L11E] 교양필수
